uniqueID,drugName,condition,review,rating,rating_class,topic
195947,SNRI,Depression,"""i have had severe depression since my teens and have been on antidepressants for many years. fortunately i have had beneficial effects from several over the years.  the most effective treatment to date has been a combination of drug and drug. i took that combination for ten+ years and unfortunately i recently started slipping downward, increased depression and feeling out of control.  i  was prescribed drug (transitioned off drug) and completed the starter pack with the only benefit being increased energy. my dr then increased the doseage to dosis and have been at dosis for two + weeks.  i have never felt (for lack of a better word) so crazy in my life! i have been so irretiable, angry, depressed and unreasonable and feeling""",negative,negative_SNRI,-1
186185,SNRI,Depression,"""i have been taking dosis of drug for about 5 weeks now, and just started taking dosis a couple days ago. i am 31 yrs old, but have been on antidepressants for 10 yrs. i've tried many drug's (drug for several yrs) and never felt much better at all. i remained depressed and began to try to accept that this is just what my life would be. finally, about 2 months ago my drs office began doing genetic testing which can guide them on what medicines your body will respond best to. so drug it was. i think my mood has lifted somewhat. i'm really hoping it will improve even more as studies show full benefits take 6-8 weeks. """,positive,positive_SNRI,-1
125971,SSRI,Depression,"""i've been on drug (dosis) for a few months now, for major depression/anxiety. before that, i took drug, but i felt like it had stopped working. the drug is working well for me. i have more good days. i don't feel sedated, just more positive and functional. as far as side effects, i get an upset stomach if i don't eat before i take it. i took it right before bed one time and had a really vivid nightmare, so i try to take it early in the day. when i do miss a dose, i feel withdrawal more than i did with drug. overall, it's effective for me, but i have to be more careful to avoid side effects.""",positive,positive_SSRI,14
183200,SNRI,Depression,"""i have only been on this for 2 weeks but i can seriously notice a difference. i am 21 and for about 6 years (after a traumatic event) i have been suffering from ""severe depression"". i have always had pain and always been to tired to do anything but lay in bed and cry! i can now say i am happy! finally happy, i can't remember a time i was ever like this. i am motivated, active, and enjoying life. it works quick. i do however have mild headaches everyday and multiple nightmares every night. i am told these will subside. it's pricey but i really think its worth it! good luck to everyone.""",positive,positive_SNRI,-1
142104,SSRI,Depression,"""i've been on drug for several years. i have to say for some the initial side effects can be overwhelming, but stick with it because it will help most of us. you can train yourself to overcome the sexual side effects, and weight gain can be controlled through proper exercise and diet. i'm not an active person, but have to remind myself to hit the gym several times a week. doing so will greatly and positively affect your mood as well, so just pretend like you have no choice and go. also please remember there is no ""magic pill"" we have to take responsibility for our own happiness, which includes lots more than just taking antidepressants! hope this helps some!""",positive,positive_SSRI,1
122246,SNRI,Depression,"""worked for 2 weeks then stopped.""",negative,negative_SNRI,-1
201175,SSRI,Depression,"""i was very very bad at one point with my anxieyy and depression and the ocd, they were all working together against me, the horrible disgusting thoughts from the ocd was driving me into constant panic attacks and anxiety through the roof! which drove me to stay in doors and avoid triggers which then pushed me into a deep deep depression, i've been on drug now for about 6 months on a low dose of of dosis, and i feel much better! i was able to go out and get a job which i am excelling at and got three raises in 4 months! i have felt a bit of the anxiety and ocd poking out once in a while but i may need to raise the dose but over all this med had changed my life so far, if you are in a rut and are down don't give up you can regain your life back!""",positive,positive_SSRI,-1
141645,SSRI,Depression,"""i am a 35 year-old female. i've always been a melancholic person (given my family history of anxiety and anger issues) but when i was younger, i have been able to experience some happiness. as i got older and had two kids, it got worse. i would get angry or sad at a drop of a hat, after which i would sink into depression. it also became more difficult to manage stress and anxiety. i began seeing a therapist who suggested that i get a physical with my primary care physician and ask if i can get a prescription for anti-depressants. i was put on dosis. of drug. during the first few days, i was light-headed, groggy, and aware of every sensation in my body. i was also very thirsty. after a week, i felt the benefits. i feel happy again.""",positive,positive_SSRI,-1
28999,SSRI,Depression,"""i am a 33 year old mother of 2 who was ready to give up on life.  started taking dosis of drug and eventually increased to dosis.  have been taking for about a year and a half.  although still dealing with a few side effects, (insomnia, weight gain, and waking up with headaches), drug has truly saved my life.  i can now be the kind of mother and wife that my family deserves. """,positive,positive_SSRI,13
205363,SNRI,Depression,"""i took drug for a month, one pill a day,
i'm currently tapering myself off of it now because it has caused the following effects:
loss of any emotion
uncontrolable shaking
inability to feel hungry or full 
and
inability to feel pain 
i'm 16 and this anti depressant is for 18  but my gp thought it was a good idea to prescribe it for me? i don't think i'll ever take another anti depressant again i'd rather feel everything than nothing.""",negative,negative_SNRI,4
201719,SSRI,Depression,"""i have been taking drug for 10  years. i take dosis daily. i have found that all of my symptoms have diminished. in times real stress, i take an extra pill. all i can say is that none of the previous drugs i took helped me at all. i have depression and post traumatic stress disorder. at age 59 i still react to anything that sounds like gunfire. i spent 33 years working for the government, 2 in the army the rest in law enforcement. i have found that i have no issues to deal with. i did once while out of the country lose my prescription while backpacking. it was horrible for me and my two friends. i take my pill in the evening before bed. no side effects at all. i found drug to be a god send for me.""",positive,positive_SSRI,-1
95811,SSRI,Depression,"""i was on the drug, for 3 years. after developing a strange phobia with severe anxiety, suicidal thoughts, and major depression, this medication probably saved my life. however, it only brought me back halfway. i still was depressed and still suffered from anxiety attacks, just not as much. after a couple of years, i believed it stopped working, even after increasing the dose, so i stopped taking it.""",positive,positive_SSRI,-1
121905,SNRI,Depression,"""helped a ton post-partum. suffered depression long after both my babies were born. insomnia is common and i took sleep aids for the first year. any tiny disturbance in taking it is not recommended...worst i have ever felt.  the ""brain zaps"" are like a special kind of torture and my appetite is simply non existent...not good for someone already under weight.  it saved me for a long time but the choice to come off was heavily weighed against the withdrawal symptoms. i am suffering through it a week later. anxiety getting better but physically there is not much change.""",positive,positive_SNRI,-1
94340,SSRI,Depression,"""i am a 42 yr old mother. i have been depressed all of my life. never been happy more than a few weeks at a time. i have tired a few different mess but no real change. i would also self medicate with alcohol. at least once a week i would get to drunk i would black out. as you probably figured that caused a lot of problems in itself. i started taken brentellix 6 moths ago and i have never been so happy in my entire life! i love it! it really changed my life for the better. no more drinking! at all. i'm so happy and my family has also seen the change are are more happy.""",positive,positive_SSRI,-1
126104,SSRI,Depression,"""i had been on drug/drug/citolopram for the past 10 years (maybe a couple more) and it was fabulous!  about a year and half ago it stopped working for me.  i had tried drug before the l/c/c and it was horrible for me - like wanting to hide in a corner under a desk paranoia!  my doctor sugested drug after the l/c/c stopped working and so far so good.  i can't attest to the gi problems, and i don't know if i have the night time issues (i sleep like a log and am single so no one is there to tell me what is going on while i'm sleeping).  i do have sleep issues, but not related to drug.  i have found that the drug doesn't help with anxiety/anger issues, so the doctor suggested adding l-theanine and that helps tons!""",positive,positive_SSRI,-1
55635,SNRI,Depression,"""started drug 75 in oct start feeling fantastic beside dry mouth and a bit of nausea. doctor up it to dosis in november. i felt like a whole different person i got my life back but due to some side effects of the drug causing constipation and facial twitching in my lower lip and body jolts doctor tried to ween me off dosis taking one pill every second day it was too fast to soon. wow just as well if i had done it cold turkey. brain zaps, crying, feeling lost in my own body. scared tremors.  it has been almost 2 weeks with no drug and i have got vertigo, felt like i was going to die.  today i started taking dosis again today and already feel a difference. this could be my drug huge difference in mood ,zapping  gone and dry mouth is back i can live with that .""",positive,positive_SNRI,-1
121103,SNRI,Depression,"""this medication was by far the worst antidepressant have taken. the first month i seemed to do very well on it, after a year on it, i hit rock bottom mentally. it caused more terrible symptoms than what was beneficial to me. i had weird brain zaps that left me in bed for days, sleep disturbances, attention seeking behavior, as well as ocd that i had never experienced previously. it took forever to get off this terrible drug and i call it a terrible drug because your brain and body get physically addicted the way a street drug would, you miss 1 day and you start having severe withdrawals, sweats, extreme brain zaps, feeling out of touch w/reality/strange thoughts. after a month of being off drug, all of the bad stuff stopped.""",negative,negative_SNRI,-1
122110,SNRI,Depression,"""after having a heart attack i became very depressed.  i have been on drug, drug, drug, ativan, drug, and buspar.  none worked and i attempted suicide.  i have major depession and anxiety disorder, so take my comments in stride.  the right drug for you is out there along with intensive therapy.  i was switched to drug while in ""the funny farm.""  after the typical waiting period for it to kick in, i can tell you i am a new man, looking at life like i used to.  it has saved my life and my family.

it hasn't done much for anxiety, so for the first few months after my severe ""episode"" i was on drug. i have now been switched to clonazepam for that issue.  please consult a proper medical person.""",positive,positive_SNRI,-1
183430,SNRI,Depression,"""drug does indeed work. most who have given it a fair shake know the results and it is seen by reading the comments here. most people who quit using drug never gave it a ""real"" chance of working properly. for most people, drug starts working quickly, but some may take 2-3 weeks or more to get the full effect.

""",positive,positive_SNRI,-1
186060,SNRI,Depression,"""i was on this for 5 weeks broke out in hives- now off of it and on prednisone. i also take lamictal so she took me off that too as she didn't know which med was causing the issue. if you start itching get to your dr right away""",negative,negative_SNRI,-1
131512,SNRI,Depression,"""worked quickly (or it was in my head), lots of yawning, by week 4 very drowsy in the morning on my 90 minute drive to work so started taking it after i got to work which is better for society in general. sometimes restless sleep. having said that, i had a lot negative thoughts about my life that i don't notice or dwell on now so i am really good with these minor side effects. i'm much happier, less irritable and family recognized it easily. i'm genuinely happy with it and thankfully no nasty side effects (thus far).""",positive,positive_SNRI,-1
177320,SNRI,Depression,"""i take drug for depression and anxiety. i've read a few comments on here and it sounds like a few people may have or had serotonin syndrome. it has happened to me in the past when a prior doct didn't pay attention to my meds. please be safe. drug has helped me a lot. i went off for about 3 yrs and have had to go back on.""",positive,positive_SNRI,-1
177893,SNRI,Depression,"""i loved drug, i felt wonderful, no aches and pains, no depression, i had my life back. i was paying $90 for a 3 month supply... then it happened, my co-pay went to $1000 for a 3 month supply! i want to cry, i obviously can't afford that so i got switched to drug, i now have a constant slight headache and it makes me nauseous, my anxiety is back. dr. switched me to drug yesterday, we shall see but what i would not give to have my drug back.""",positive,positive_SNRI,-1
201467,SSRI,Depression,"""i've been on drug for 3 months now. initially, i suffered from side effects such as shivering, loss of appetite, drowsiness, and insomnia. these symptoms lasted for about three days. i was scared at first and planned on trying another medication for anxiety. however, i called my cousin who is a nurse and she told me to try cutting the pill in half. i took my cousins advice and cut the pill in half, taking only dosis a day which works really well for me.i'm 5'4, 130lbs. i no longer suffer from anxiety, after taking drug that i realized that i was suffering from depression. drug alleviates my anxiety and has greatly helped with my depression, i now feel more happy and motivated to do things right away without procrastinating. life changer!""",positive,positive_SSRI,-1
126052,SSRI,Depression,"""i have never been so upset/embarrassed with outbursts of anger. the day before i was screaming at my daughter at a water park as well as my poor son in the airport.   i can't believe my aggressive behavior. i'm getting off of this.""",negative,negative_SSRI,-1
95995,SSRI,Depression,"""i was on drug years 9 years ago for social anxiety and it worked great for me. i decided to get off it but slowly all my symptoms came back. also got very depressed. got back in drug 7 months ago and i feel great again. i did have to get a night guard from my dentist. i chipped two from teeth and cracked a molar from grinding my teeth. dosis daily.""",positive,positive_SSRI,-1
122034,SNRI,Depression,"""that was so strange. i gave up smoking after 10 years with the help of drug.""",positive,positive_SNRI,0
201647,SSRI,Depression,"""i'm on dosis of drug and it has changed my life!""",positive,positive_SSRI,13
205507,SNRI,Depression,"""i have suffered from severe anxiety (gad) and was taking more and more klonopin as time went on.  i am very sensitive to medication and have tried many different drug/drug's through the year with horrible side effects.  finally, i had dna testing to see what i would respond to and the result was drug.  i started it several months ago in a small dose (i split the pills even though they say don't do this) and within a few days my anxiety literally went away.  i was able to cut my klonopin in 1/2 over a two month period.  the first week or two i was extremely tired but that passed.  the only side effect i get from time to time is migraines.  it still amazes me that my anxiety has disappeared.  i no longer keep klonopin in my  pocket!""",positive,positive_SNRI,-1
186252,SNRI,Depression,"""depression has got worse causing me to miss work. have been on 20 different antidepressants over 7 years. drug didn't help at all for me, headaches, foggy and nausea. also shaky at times.""",negative,negative_SNRI,-1
45435,SSRI,Depression,"""most of my life i have struggled with severe panic attacks, general anxiety, ptsd and moderate depression. been on meds twice before until i felt better and then i would stop taking them. this last time it had been close to a year that i had been suffering again before i decided to reluctantly go back on meds. i tried drug again- it worked kinda okay in the past but this time it made no improvement for me. saw the doc who switched me to drug- all i can say is wow! best yet- i feel like my old, happy self after only 1 month! dosis the first week, 15 the second and dosis the last two. give it time to work and be patient- it might make you feel a bit off and not better at first, but it is a miracle drug. these bad feelings will pass hang in there!""",positive,positive_SSRI,-1
120982,SNRI,Depression,"""i tried just about everything for depression and drug was one of the only drugs to help. i was so depressed that i jumped off a building for a suicide attempt. i wound up paralyzed in a wheelchair. drug took a while to work about 3 moths or so. i first took dosis but didn't do much. it wasn't until i reached dosis that i felt the true effects of the drug. very very strong antidepressant effects. my mind is clear and i'm feeling a warm glow all day. my depression so anxiety are gone even though i'm paraplegic i am happy. wish they gave this drug to me a long time ago i would not be in a wheelchair. you have to really be patient and find the right dose abs then one day you'll wake up and feel great.""",positive,positive_SNRI,-1
45454,SSRI,Depression,"""i've been on every antidepressant known to mankind and they were awful to me. either the side effects were too bad or it turned me into a complete zombie to the point work was out of the question, and then my dr said we would try one more called drug and the reason he had not prescribed it before was because it took 6-8 weeks to reach full effect as where the others took less then half that time. i started out taking dosis because i have always been very sensitive to antidepressants and their side effects. for about the first 2 or 3 weeks i experience light anxiety... then finally the 6 weeks passed and still nothing, but then finally about 8 weeks into the mediation, i feel like santa clause on steroids! it has saved my life! """,positive,positive_SSRI,-1
61611,SSRI,Depression,"""after 13 years of untreated depression, anxiety and panic attacks i decided to finally ask for help.
that came in the form of dosis drug for the first week, dosis for another month and boosted up to dosis for the next few months. 
in that time i had nothing but bad side effects. instead of feeling depressed and sad i just got grumpy and mad, i had trouble with my sex drive/performance and the insomnia was ridiculous. my partner told me i had changed since starting the medication. 
i have since come off all medication and living happily without.""",negative,negative_SSRI,-1
205463,SNRI,Depression,"""a little over two years due to a job change and move, i suffered many anxiety/panic attacks.  one of them landed me in the er.  i was then diagnosed with depression.  i was put on drug and with time it started working.  i took the medication for about 18 months and then very slowly went off.  i don't like being dependent on medication.  my main reason for going off was my sex drive.  you are very limited as to what you can take while on antidepressants.  i am starting to feel like i am slipping into depression once again so will probably start again.  drug worked wonders for me.""",positive,positive_SNRI,-1
205920,SNRI,Depression,"""wrapping up week 8 with drug. first depression treatment attempt, therefore unable to compare to similar drugs. notable: elevated mood, on-and-off headaches, sleepiness, confusion, poor coordination, decreased appetite, consistent sex drive. positive effects of drug definitely outweigh set backs. thanks drug. everyone is different and therefore no two people are expected to react the same.""",positive,positive_SNRI,4
125954,SSRI,Depression,"""i had no major side effects on this med and it's helped my anxiety and depression. i've been taking it for 6 months. i titrated up to dosis. the med was helping my mood but i had diarrhea that wasn't temporary so they put me on dosis.  the dosis is working just fine for me but i still get diarrhea every now and then whereas i didn't before starting drug  something peculiar- it seems since starting drug, my guts are intolerant to veggies i ate fine before i started the med. lettuces (even organic from the grocery not sprayed w/preservatives, cooked cauliflower etc run right through me now. it's common for ppl to have this affect w/o this med but i never was sensitive. not sure if there is a correlation. it's not crampy so for now staying on drug.""",positive,positive_SSRI,-1
93239,SSRI,Depression,"""i am a 44 yr old female and i started taking dosis twelve days ago.  the first week was really good.  i felt calmer, softer and less agitated.  i didn't feel depressed but i did experience some minor gi issues (nothing i couldn't deal with).  this week i feel slow and tired, unexcited about going to the gym anymore.  i can feel depression creeping back in.  i called the doctor today and asked if i could try going up to dosis.  i'm hoping i can get back on track.""",negative,negative_SSRI,-1
195967,SNRI,Depression,"""i was on drug for a couple of months but my depression was still really bad. the doctor kept increasing my dose with no signs of improvement. eventually, my blood pressure and pulse was so high that i had to come off.""",negative,negative_SNRI,-1
126085,SSRI,Depression,"""i've tried drug, drug, drug and none of them worked well. they would work maybe a month and the depression crept back into my life. i started taking drug and the recommendation of a doctor and trusted friend and my life has changed dramatically for the better. i don't have the wiped out feeling and my sex drive has stayed the same. this medicine has been a god send for me. i had to fight to get my insurance to cover it but it has so been worth it.""",positive,positive_SSRI,2
61634,SSRI,Depression,"""i'm on dosis a day, did take drug, drug now on these, don't think they do anything to me, doctor says he don't know if i got bi polar or schizophrenia lol, that's what u get for being honest. did stop them once for week as thought doing nothing, never felt so ill in my life if that's a cold turkey. i'm 35 anyone else on dosis? """,negative,negative_SSRI,-1
45779,SSRI,Depression,"""i am a 46 year old male. in 1988 i was going through a very serious bout with anxiety and depression. luckily - there was a place called freedom from fear on staten island that was able to counsel me (free of charge, as was affiliated with columbia university), and a doctor there prescribed for me a new drug that was just approved and available...drug. i took it for eight months or so and recovered - so much so that it helped me deal with the tragedy of my mother dying only a year later. yes, this medicine saved my life. this is are the reason i am here right now. i only took the medicine for that eight months, and slowly got off it. here i am 20 years later, totally fine!""",positive,positive_SSRI,-1
125844,SSRI,Depression,"""end of drug week 1 was starting to feel normal, then began week 2 at dosis. more nausea (ondancetron med really helps at work), no headaches this week. new symptom of gritty feeling in eyes--think it is dry eyes, so bought some good tear drops and seems a lot better now, will keep using. i switched over cold turkey from dosis drug. when starting any new antidepressant, i always take it on the weekend, never during the workweek. it might make you sleep all day or be ""out of it,"" but that's usually just an adjustment period you have to go thru. too bad doctors don't always let patients know what to expect.""",positive,positive_SSRI,-1
168763,SSRI,Depression,"""i started drug -- dosis/day -- over a year ago, when going thru a prolonged low. like alot of folks, i've tried many different things in 20+ years, gone thru the rollercoaster of titrating on, titrating off, having stuff work then stop working, etc. to my surprise, drug has helped -- though the diarrhea and so forth were super annoying at first (then gradually abated). unlike most anti-depressants, i could feel an effect within first week or two, even titrating very gradually.

i recently went up to 40/mg. mood brighter, helps clear up the brain fog. various effects on body: deeper sleep, intense dreams, increased sex drive (almost annoying), as well as gi stuff. so far, so good""",positive,positive_SSRI,-1
62152,SSRI,Depression,"""works great. i feel like myself again- positive, energetic, interest in activities has returned.""",positive,positive_SSRI,-1
140765,SSRI,Depression,"""started cipralex dosis 7 months ago. first few weeks side effects were not enjoyable, but i stuck with it. within a month not only was i noticing feeling better, but friends and family were also noticing i had a better overall mood. last few weeks, i have had my dr up my does to dosis a day, due to starting to feel the same horrible mood i did before starting. see to have build a small tolerance. in terms of anxiety, this medication has 0 effect in helping me.""",positive,positive_SSRI,-1
205810,SNRI,Depression,"""i felt a difference right away. the only negative feedback i have is the tiredness. i can't stay awake but i do not know if it is from coming off of add medication. i have been on this medication for 3 days now and already feel like a new woman! i no longer need my drug!""",positive,positive_SNRI,-1
186226,SNRI,Depression,"""i've been on drug for 18 months dosis. it took 4 to 5 weeks to help me have a relaxed outlook on life. i still have a lot of the side effects you are all talking about. if i forget to take the pills for a day or two i fall straight back to the place i was. """,positive,positive_SNRI,-1
186284,SNRI,Depression,"""i had been on drug for over a year and it was working great with the exception of having zero libido. with my relationship at stake i decided to try drug. after about a week i realized that i was back to my old irritable, pre-medicated self. i have been crying at the drop of a hat, snapping on loved ones, and i have been nauseous almost everyday. not to mention i went from 125 pounds to 137 pounds in a month. i talked to my doctor today and she suggested trying drug.""",negative,negative_SNRI,-1
119128,SSRI,Depression,"""i've been on drug for almost a year now. i will be changing medicines in 4 days, which makes me really anxious. this drug worked well for my depression and anxiety. however, i've been completely unable to have a good time while on this medication. i can't bring myself to go out, hang out with friends. i do nothing. i have no motivation. the biggest problem i've had with drug is extreme weight gain. i've gained 50 lbs in the year. """,positive,positive_SSRI,-1
205513,SNRI,Depression,"""i have suffered depression off and on for over 20 years. i take drug for chronic pain and still have fallen in a deep depression. my doctor added drug and after day 1 i'm feeling much better!""",positive,positive_SNRI,-1
61630,SSRI,Depression,"""a couple of years ago i ended up with anxiety and depression. my doctor prescribed drug. i started at dosis and after a couple of weeks increased my dosage to dosis. there were side effects. sweats, waking up at 3:00 and not able to get back to sleep. it took sbout 6 weeks before i felt great. much happier, little to no anxiety and my wife notice the change for the better. i stayed on drug for about 6 months and over a month kept reducing my dosage by dosis drug until i was off the meds. i had no withdrawal at all. felt great as i went off the meds.  had some personal problem that sent me sideways and the doctor put me back on drug. took about 6 weeks for it to work just like the first time. feeling myself again""",positive,positive_SSRI,-1
118513,SNRI,Depression,"""i started with dosis and stayed on that for 1 month.  i didn't see much of a change in with my issues but was a tiny bit better.  i went to dosis for 4 months and i felt some improvement but i became depressed again.  i have just started dosis last week.  i was feeling angry and nervous and not sleeping at all for about 4 days.  i'm on the 6th day now and those side effects are almost gone.  i'll update after a little more time goes by.  but i am feeling a little more motivated and awake.""",positive,positive_SNRI,-1
89146,SSRI,Depression,"""i love drug. i was getting depressed after long hours of med school and studying and feeling like i had no time enjoyment. drug took about 3 weeks to work, but it worked and continues to work. i no longer feel depressed every day. sometimes i sink into depression, but i am able to snap out of it much quicker. i feel less moody, and my boyfriend has noticed an improvement in my mood. the only side effect i experience is decreased sex drive/harder time climaxing, but i would prefer that over going off the deep end. i will continue to take this and consider weening myself from it once life is less stressful. great medicine that can save your life.""",positive,positive_SSRI,-1
93414,SSRI,Depression,"""i only took this medication for a few days, my heart started hurting...i ended up in emergency room my blood pressure had sky rocket and my heart rate was throught the roof. laying down my heart rate is steady but the moment i stand it jumps to over 150bpm...this never happened until i took this medication. i have been on bed rest for over a week now and so far it doesn't seem to be getting any better.""",negative,negative_SSRI,6
45913,SSRI,Depression,"""this is one of the only drugs that i don't have any side effects from.""",positive,positive_SSRI,-1
28852,SSRI,Depression,"""i started taking drug going on 3 weeks ago and i think it's great.  the side effects that i suffered in the very beginning were headaches but they are all pretty much gone.

i also did not put on any additional weight. i actually lost about 4 pounds. it seems to suppress my appetite. i highly recommend it.""",positive,positive_SSRI,-1
96247,SSRI,Depression,"""i suffered from inherited depression (chemical imbalance). my family doctor put me and my mother on it at the same time. we both were nauseous and had headaches for the first 2 weeks, the subsided. then we went up a dose after a month to dosis and had the same side affects again but then went away. now we are both happy-go-lucky. drug made me normal again. which i had forgotten what normal was years ago. saved my marriage and my life as well. i recommend taking it at night though. """,positive,positive_SSRI,-1
83358,SSRI,Depression,"""drug does help with depression, anxiety and obsessive compulsive disorder. it makes you lose weight but the weight comes back fast when you stop taking it.""",positive,positive_SSRI,-1
89693,SSRI,Depression,"""i have struggled with anxiety/depression/insomnia my whole life. nothing ever had any noticeable effects until i was prescribed drug back in 2007. i was on it for years, then decided to try life without it and was tapered off. the thing about drug (and all antidepressants) is they work well in that you wont spend as much time crying and all that but they also inhibit you from feeling genuine euphoria! you just stay at a base-line. """,negative,negative_SSRI,-1
186584,SNRI,Depression,"""i began drug about 6 months ago. at first, it worked better for me than any i've ever taken. now, though, i have days when i feel like it's not working very well. i am considering trying something else, but i'm still not sure. i wish there was an antidepressant that would continue to work forever....""",positive,positive_SNRI,5
168959,SSRI,Depression,"""hyped me up like crazy.  made anxiety worse.  no depression help.  gives lots of energy.""",negative,negative_SSRI,-1
94061,SSRI,Depression,"""i am taking dosis of drug and also taking contrave (which contains drug). i was feeling ok, but multiple tragedies kept me in a severe state of depression, anxiety and overwhelming sense of apathy. every day i wanted to die. the dr gave me some samples of this med to take with current meds, and last night was the first time i took it. i did feel nauseous, but my doc had told me to take it at night and with food, so that helped since i went to bed once i started feeling sick. i woke up with so much energy. i actually sprung out of bed ready to take on the day, and looked forward to it. i was shocked that it had such a fast effect, but so happy because it's been a really long time since i've felt this good. hoping it will last.""",positive,positive_SSRI,-1
181629,SSRI,Depression,"""drug really worked for me. it kept my depression under control along with my anxiety. only side affects is you can forget about sex!!! i also experienced short term memory loss.""",positive,positive_SSRI,-1
186654,SNRI,Depression,"""i absolutely loved drug - great energy - great sex - felt good. i unfortunately suffered a side effect that i couldn't empty my bladder all the way. so that meant sleep deprivation. my md thought it was a uti, but getting off the medicine and seeing a urologist cleared up the symptoms. the urologist said it was a very common side effect of drug. he put me on flomax for a couple of weeks... loved drug, hate that i can't take it.""",negative,negative_SNRI,2
121444,SNRI,Depression,"""this is a terrible pill and i wouldn't recommend anybody to start this med unless you are ready for the bad side effects of coming off of this med when it doesn't work . this med cause me to lose about 3 years of memory lose and almost my marriage.""",negative,negative_SNRI,-1
177878,SNRI,Depression,"""it works well for depression.  even stopped nerve pain that i didn't know i had since i had lived with it all my life.  i just thought it was normal to have pins and needle feeling in my nerve endings.  lifted the depression.  was okay on anxiety, but still had to take valium for true panic attacks.  warning though - getting off this medication can give hard withdrawals. you have to slowly wean yourself off. if not, you will get brain freezes or shivers which are freaky and scary.  also, extremely irritable coming off of it.""",positive,positive_SNRI,12
55858,SNRI,Depression,"""while effective in decreasing my depression, i developed almost every side effect listed, (including anxiety, muscle soreness, unbearable joint pain, excessive sweating, severe memory loss, gerd, dysuria, brain shivers, hypothyroidism, loss of menstruation) and found myself on medications to treat each of them, ultimately using 19 prescription medications to deal with the side effects.  if i could have anticipated the side effects, and the expected difficulty of weaning off this, i would have continued to search for a better alternative.  """,negative,negative_SNRI,-1
121395,SNRI,Depression,"""gave me my life back. dosis""",positive,positive_SNRI,-1
